arm,removed,n_features,pr_auc,best_iteration,delta
full,0,349,0.5282036020141405,561,0.0
amount,3,346,0.521611899328989,137,-0.006591702685151524
frequency,7,342,0.5396156872466601,408,0.011412085232519575
entity,6,343,0.5245540352583444,593,-0.0036495667557960854
velocity,4,345,0.5307381789618559,283,0.0025345769477154168
vblock,234,115,0.5244976538932002,304,-0.0037059481209402723
